"NUM","GENDER","AGE","ENERGY","CARBOHYDRATE","PROTEIN","SUGAR","NATRIUM","CHOLESTEROL","FAT","FATTY_ACID","TRANS_FATTY_ACID"
1,"남","6~8",1700,130,35,"10~20",1200,,"15~30",8,1
2,"남","9~11",2000,130,50,"10~20",1500,,"15~30",8,1
3,"남","12~14",2500,130,60,"10~20",1500,,"15~30",8,1
4,"남","15~18",2700,130,65,"10~20",1500,,"15~30",8,1
5,"남","19~29",2600,130,65,"10~20",1500,300,"15~30",7,1
6,"남","30~49",2500,130,65,"10~20",1500,300,"15~30",7,1
7,"남","50~64",2200,130,60,"10~20",1500,300,"15~30",7,1
8,"남","65~74",2000,130,60,"10~20",1300,300,"15~30",7,1
9,"남","75~",1900,130,60,"10~20",1100,300,"15~30",7,1
10,"여","6~8",1500,130,35,"10~20",1200,,"15~30",8,1
11,"여","9~11",1800,130,45,"10~20",1500,,"15~30",8,1
12,"여","12~14",2000,130,55,"10~20",1500,,"15~30",8,1
13,"여","15~18",2000,130,55,"10~20",1500,,"15~30",8,1
14,"여","19~29",2000,130,55,"10~20",1500,300,"15~30",7,1
15,"여","30~49",1900,130,50,"10~20",1500,300,"15~30",7,1
16,"여","50~64",1700,130,50,"10~20",1500,300,"15~30",7,1
17,"여","65~74",1600,130,50,"10~20",1300,300,"15~30",7,1
18,"여","75~",1500,130,50,"10~20",1100,300,"15~30",7,1
